,PV[kW],EL[kW],Import[kW],Export[kW],Battery[kWh],P_charge_battery[kW],T_tank[*C],P_waterheater[kW],T_house[*C],Q_spaceheater[kW],Q_aircon[kW]
0,0.0,0.05,20.05,0.0,3.0,20.0,40.001,0.0,20.0,0.0,0.0
1,0.0,0.05,40.060882830517386,0.0,6.0,20.0,40.0,0.01088283051739225,20.3606125,0.0,0.0
2,0.0,0.05,40.08178746066758,0.0,9.0,20.0,40.0,0.03178746066758343,20.70687646875,0.0,0.0
3,0.0,0.05,43.67999065721376,0.0,12.0,20.0,40.17210930555314,3.6299906572137597,21.039401718828124,0.0,0.0
4,0.0,0.05,45.05,3.552713678800501e-14,15.0,20.0,40.40973352388906,4.9999999999999645,21.35872964577793,0.0,0.0
5,0.0,0.05,45.05,3.552713678800501e-14,18.0,20.0,40.647336489418734,4.9999999999999645,21.665463635832367,0.0,0.0
6,0.0,0.05,45.05,3.552713678800501e-14,21.0,20.0,40.88491820404298,4.9999999999999645,21.96009643130949,0.0,0.0
7,0.0,0.05,45.131047444326285,1.9184653865522705e-13,24.0,20.0,41.122478669662456,4.999999999999816,22.0,0.0,24.314233297883803
8,0.0,0.05,45.144095,3.552713678800501e-14,27.0,20.0,41.36001788817766,4.9999999999999645,22.0,0.0,28.228500000000146
9,0.0,0.05,45.14440666666667,1.9184653865522705e-13,30.0,20.0,41.59753586148888,4.999999999999816,22.0,0.0,28.322000000000003
10,0.0,0.05,45.14471833333333,3.552713678800501e-14,33.0,20.0,41.83503259149629,4.9999999999999645,22.0,0.0,28.415500000000126
11,0.0,0.05,45.14501583333333,1.8474111129762605e-13,36.0,20.0,42.07250808009983,4.999999999999816,22.0,0.0,28.5047500000001
12,0.0,0.05,45.1453275,3.552713678800501e-14,39.0,20.0,42.30996232919934,4.9999999999999645,22.0,0.0,28.598250000000135
13,0.0,0.05,45.145624999999995,3.552713678800501e-14,42.0,20.0,42.54739534069443,4.9999999999999645,22.0,0.0,28.68750000000013
14,0.0,0.05,45.1459225,1.8474111129762605e-13,45.0,20.0,42.784807116484565,4.999999999999816,22.0,0.0,28.776750000000106
15,0.0,0.05,45.14622,1.8474111129762605e-13,48.0,20.0,43.02219765846905,4.999999999999816,22.0,0.0,28.866000000000014
16,0.0,0.05,45.1465175,1.9184653865522705e-13,51.0,20.0,43.259566968547,4.999999999999816,22.0,0.0,28.95525000000012
17,0.0,0.05,45.14680083333333,1.8474111129762605e-13,54.0,20.0,43.496915048617375,4.999999999999816,22.0,0.0,29.04025000000012
18,0.0,0.05,45.14709833333333,3.552713678800501e-14,57.0,20.0,43.734241900578965,4.9999999999999645,22.0,0.0,29.129500000000142
19,0.0,0.05,45.14738166666667,4.263256414560601e-14,60.0,20.0,43.971547526330376,4.9999999999999645,22.0,0.0,29.214500000000122
20,0.0,0.05,45.147665,4.263256414560601e-14,63.0,20.0,44.208831927770056,4.9999999999999645,22.0,0.0,29.299500000000123
21,0.0,0.05,45.14794833333333,3.552713678800501e-14,66.0,20.0,44.44609510679628,4.9999999999999645,22.0,0.0,29.384500000000102
22,0.0,0.05,45.1482175,4.263256414560601e-14,69.0,20.0,44.68333706530715,4.9999999999999645,22.0,0.0,29.465250000000133
23,0.0,0.05,45.14850083333333,3.552713678800501e-14,72.0,20.0,44.92055780520061,4.9999999999999645,22.0,0.0,29.550250000000133
24,0.0,0.05,45.14877,1.8474111129762605e-13,75.0,20.0,45.15775732837441,4.999999999999816,22.0,0.0,29.631000000000142
25,0.0,0.05,45.14903916666667,4.263256414560601e-14,78.0,20.0,45.39493563672617,4.9999999999999645,22.0,0.0,29.711750000000126
26,0.0,0.05,45.14930833333334,4.263256414560601e-14,81.0,20.0,45.632092732153296,4.9999999999999645,22.0,0.0,29.792500000000132
27,0.0,0.05,45.1495775,1.8474111129762605e-13,84.0,20.0,45.86922861655305,4.999999999999816,22.0,0.0,29.873249999999985
28,0.0,0.05,45.14984666666666,3.552713678800501e-14,87.0,20.0,46.10634329182253,4.9999999999999645,22.0,0.0,29.954000000000036
29,0.0,0.05,45.15010166666667,4.263256414560601e-14,90.0,20.0,46.34343675985865,4.9999999999999645,22.0,0.0,30.03050000000014
30,0.0,0.05,11.817037500000005,3.552713678800501e-14,88.0,-13.333333333333332,46.58050902255815,4.9999999999999645,22.0,0.0,30.111250000000144
31,0.0,0.05,5.150625833333333,1.8474111129762605e-13,85.0,-20.0,46.8175600818176,4.999999999999816,22.0,0.0,30.18774999999998
32,0.0,0.05,5.150880833333336,1.8474111129762605e-13,82.0,-20.0,47.05458993953342,4.999999999999816,22.0,0.0,30.264250000000104
33,0.0,0.05,5.151135833333335,3.552713678800501e-14,79.0,-20.0,47.29159859760186,4.9999999999999645,22.0,0.0,30.34075000000014
34,0.0,0.05,45.151376666666664,3.552713678800501e-14,82.0,20.0,47.52858605791898,4.9999999999999645,22.0,0.0,30.413000000000068
35,0.0,0.05,45.15163166666667,3.552713678800501e-14,85.0,20.0,47.76555232238067,4.9999999999999645,22.0,0.0,30.489500000000124
36,0.0,0.05,45.151872499999996,3.552713678800501e-14,88.0,20.0,48.002497392882674,4.9999999999999645,22.0,0.0,30.561750000000032
37,0.0,0.05,45.15211333333333,3.552713678800501e-14,91.0,20.0,48.239421271320545,4.9999999999999645,22.0,0.0,30.63400000000014
38,0.0,0.05,45.15235416666667,4.263256414560601e-14,94.0,20.0,48.47632395958968,4.9999999999999645,22.0,0.0,30.706250000000068
39,0.0,0.21,45.312595,1.8474111129762605e-13,97.0,20.0,48.71320545958528,4.999999999999816,22.0,0.0,30.77850000000013
40,0.0,0.21,45.312821666666665,3.552713678800501e-14,100.0,20.0,48.95006577320243,4.9999999999999645,22.0,0.0,30.846500000000134
41,0.0,0.21,25.3130625,1.8474111129762605e-13,100.0,0.0,49.18690490233599,4.999999999999816,22.0,0.0,30.918750000000017
42,0.0,0.21,25.313289166666667,3.552713678800501e-14,100.0,0.0,49.423722848880686,4.9999999999999645,22.0,0.0,30.98675000000013
43,0.0,0.21,5.313515833333334,1.8474111129762605e-13,97.0,-20.0,49.660519614731044,4.999999999999816,22.0,0.0,31.05475000000013
44,0.0,0.21,45.313742500000004,1.8474111129762605e-13,100.0,20.0,49.89729520178145,4.999999999999816,22.0,0.0,31.12275000000011
45,0.0,0.21,5.313969166666666,3.552713678800501e-14,97.0,-20.0,50.13404961192612,4.9999999999999645,22.0,0.0,31.190750000000023
46,0.0,0.21,45.31418166666667,3.552713678800501e-14,100.0,20.0,50.370782847059075,4.9999999999999645,22.0,0.0,31.254500000000007
47,0.0,0.21,5.314408333333336,1.8829382497642655e-13,97.0,-20.0,50.60749490907418,4.999999999999816,22.0,0.0,31.32250000000014
48,0.0,0.21,45.314620833333336,1.8474111129762605e-13,100.0,20.0,50.84418579986513,4.999999999999816,22.0,0.0,31.38625000000015
49,0.0,0.21,5.314833333333336,3.907985046680551e-14,97.0,-20.0,51.08085552132547,4.9999999999999645,22.0,0.0,31.450000000000134
50,0.0,0.21,45.31503166666667,3.552713678800501e-14,100.0,20.0,51.31750407534854,4.9999999999999645,22.0,0.0,31.509500000000145
51,0.0,0.21,5.31524416666667,3.907985046680551e-14,97.0,-20.0,51.55413146382753,4.9999999999999645,22.0,0.0,31.57325000000013
52,0.0,0.21,5.31545666666667,1.8829382497642655e-13,94.0,-20.0,51.79073768865546,4.999999999999816,22.0,0.0,31.637000000000135
53,0.0,0.34,5.445654999999999,1.8474111129762605e-13,91.0,-20.0,52.02732275172519,4.999999999999816,22.0,0.0,31.696499999999972
54,0.0,0.34,45.44585333333333,1.7763568394002505e-13,94.0,20.0,52.26388665492939,4.999999999999816,22.0,0.0,31.75600000000003
55,0.0,0.34,45.44605166666666,2.842170943040401e-14,97.0,20.0,52.50042940016058,4.9999999999999645,22.0,0.0,31.815500000000085
